OD_id,matching_prob,ride_distance,detour_distance,shared_distance,ride_distance_for_taker,detour_distance_for_taker,shared_distance_for_taker,ride_distance_for_seeker,detour_distance_for_seeker,shared_distance_for_seeker
460,0.9998950176719411,12948.348771108153,1206.5146503690337,4742.798202248263,13275.921455681508,1534.0873349423885,5769.943991793842,12333.841780947612,592.0076602084968,2431.5406649286847
461,0.9990189650235922,5035.064023846683,1152.872022336703,2729.2209194503857,4628.167001696013,745.975000186033,2889.736020074809,4714.504829168751,832.3128276587714,1487.4481372579783
462,0.9026138102827062,3063.136447639357,811.9595374697559,2061.6639423820197,3487.900719118359,1236.7238089487576,2038.2172419335755,2337.957463216225,86.78055304662317,866.5124470813
463,0.6145340354726769,21976.204473490146,700.2937684349066,3327.9451131591395,22058.332341538426,782.421636483187,2821.9491199190684,21372.137357894695,96.22665283945396,1149.2647370787315
464,0.8235708695885473,2764.5061269018465,657.7656238330071,1557.1172918404384,2977.3482218671834,870.607718798344,1368.0265549781566,2235.764967097225,129.02446402838558,726.2816218775645
465,0.9074822111963323,1295.1153893499209,301.4800319770365,716.9411415196333,1519.5755577520906,525.9402003792059,498.33949707775986,1004.8701931753235,11.23483580243868,441.92766092507503
466,0.9963177837730376,6789.321501396278,731.3559191766033,3506.3311490866604,7137.154368757073,1079.1887865373947,3882.0523304930252,6222.568810623337,164.6032284036616,1467.6112962909565
467,0.9999758335807379,5760.67805900683,818.3006682546697,3280.740358102071,5931.7683713137485,989.3909805615865,3618.773064197668,5320.11069869771,377.73330794554937,1669.3315947572007
468,0.9999926074016768,9535.717774799205,844.8199313976085,4215.279466669174,9927.419965867222,1236.5221224656236,5369.049675861525,9201.878148771386,510.98030536978786,2765.728744244288
469,0.9958254842036257,11395.744436280725,1189.9435062805053,4501.4262068905055,11931.065274930685,1725.264344930467,5266.037182612566,10857.022756939452,651.2218269392341,2857.0820211275086
470,0.5668290235724431,4324.551111374862,196.5062039117092,2176.008944719426,4413.649405274495,285.6044978113424,799.0472518904062,4175.258491913325,47.21358445017283,1758.3269466331787
471,0.9489056187365358,5242.474654040872,763.6838383560832,3629.1166654575973,5494.144838690232,1015.3540230054422,3376.4148263145335,4625.575379036886,146.78456335209822,1577.7062103133453
472,0.9999848549919419,10056.758022567092,1203.0766558777477,5078.403983673042,9903.778650351998,1050.0972836626559,5045.816832271834,9566.914272260721,713.232905571377,2724.658403208259
473,0.999978981185813,7332.723564484926,705.2719303919189,4553.771203484873,7606.765212675524,979.3135785825191,4499.246103547485,6844.726671602239,217.27503750923378,2311.774189593075
474,0.9999799412690135,7207.904559561407,1171.507852897695,3989.910511434798,7273.021156095873,1236.624449432161,4079.6419722446253,6503.228137027831,466.8314303641182,1665.1727856529349
475,0.7846017237808575,4462.342302166919,566.412295544578,1910.8655552936314,4420.232041429623,524.3020348072831,1541.2543515951318,4031.536661561754,135.60665493941445,644.4560733649654
476,0.9987755203255658,4806.153769057983,626.5933174290633,3211.846059367013,4795.335997586116,615.7755459571985,3087.864393838835,4432.14626450672,252.5858128778025,1336.3502493846072
477,0.9693014921575578,7284.724324883348,1088.941533281237,3695.5143813965465,7394.350003211631,1198.5672116095222,3416.768049112716,6463.846408671868,268.06361706975673,1355.4291453193862
478,0.9809483019169327,1956.3807206461981,364.6846834449631,1368.3236618404749,2322.0191140107027,730.3230768094671,1165.8450098696123,1596.6243358241704,4.928298622935298,794.0296276908255
479,0.9999938049987851,8799.75408982886,1040.6994918019016,4783.992770890888,8894.876215930231,1135.821617903274,4814.55756033447,8157.173139864535,398.1185418375699,2060.1997720494633
480,0.9996564294662694,4303.556556892531,508.41651225185944,3275.359320060324,4487.9427803270955,692.8027356864206,3077.8251143212656,3926.675115699833,131.53507105916003,1601.0368829885451
481,0.9996950353708229,3951.4465050658264,466.43989420144766,3009.3262011524307,4147.896025752068,662.8894148876929,2779.3603602376174,3596.5430847081634,111.53647384378633,1521.2884137004344
